Date,Name,Type,StrikePrice,ExpiryDay,Price
2019-06-25,NIFTY,PE,11700.0,2019-06-27,19.0
2019-06-26,NIFTY,PE,11700.0,2019-06-27,5.2
2019-06-27,NIFTY,PE,11700.0,2019-06-27,0.1
2019-06-25,NIFTY,CE,11900.0,2019-06-27,15.5
2019-06-26,NIFTY,CE,11900.0,2019-06-27,20.2
2019-06-27,NIFTY,CE,11900.0,2019-06-27,0.35
2019-06-03,NIFTY,PE,12000.0,2019-06-06,35.0
2019-06-04,NIFTY,PE,12000.0,2019-06-06,29.0
2019-06-06,NIFTY,PE,12000.0,2019-06-06,142.0
2019-06-11,NIFTY,PE,11850.0,2019-06-13,14.35
2019-06-12,NIFTY,PE,11850.0,2019-06-13,13.65
2019-06-13,NIFTY,PE,11850.0,2019-06-13,0.15
2019-06-18,NIFTY,PE,11600.0,2019-06-20,21.1
2019-06-19,NIFTY,PE,11600.0,2019-06-20,10.7
2019-06-20,NIFTY,PE,11600.0,2019-06-20,0.1
2019-06-03,NIFTY,CE,12200.0,2019-06-06,15.55
2019-06-04,NIFTY,CE,12200.0,2019-06-06,2.75
2019-06-06,NIFTY,CE,12200.0,2019-06-06,0.05
2019-06-11,NIFTY,CE,12050.0,2019-06-13,11.9
2019-06-12,NIFTY,CE,12050.0,2019-06-13,1.45
2019-06-13,NIFTY,CE,12050.0,2019-06-13,0.05
2019-06-18,NIFTY,CE,11800.0,2019-06-20,12.2
2019-06-19,NIFTY,CE,11800.0,2019-06-20,8.45
2019-06-20,NIFTY,CE,11800.0,2019-06-20,18.05
2019-04-02,NIFTY,PE,11600.0,2019-04-04,17.4
2019-04-03,NIFTY,PE,11600.0,2019-04-04,13.4
2019-04-04,NIFTY,PE,11600.0,2019-04-04,3.0
2019-04-09,NIFTY,PE,11550.0,2019-04-11,9.7
2019-04-10,NIFTY,PE,11550.0,2019-04-11,12.55
2019-04-11,NIFTY,PE,11550.0,2019-04-11,0.15
2019-04-15,NIFTY,PE,11600.0,2019-04-18,15.55
2019-04-16,NIFTY,PE,11600.0,2019-04-18,2.75
2019-04-18,NIFTY,PE,11600.0,2019-04-18,0.05
2019-04-23,NIFTY,PE,11500.0,2019-04-25,18.15
2019-04-24,NIFTY,PE,11500.0,2019-04-25,2.45
