unixtimestamp,date,high,low,close,thursdays,expirydate
1701661500,2023-12-04,20702.650390625,20507.75,20686.80078125,2023-12-07,2023-12-07
1701747900,2023-12-05,20864.05078125,20711.150390625,20855.099609375,2023-12-07,2023-12-07
1701834300,2023-12-06,20961.94921875,20852.150390625,20937.69921875,2023-12-07,2023-12-07
1701920700,2023-12-07,20941.25,20850.80078125,20901.150390625,2023-12-07,2023-12-07
1702007100,2023-12-08,21006.099609375,20862.69921875,20969.400390625,2023-12-14,2023-12-14
1702266300,2023-12-11,21026.099609375,20923.69921875,20997.099609375,2023-12-14,2023-12-14
1702352700,2023-12-12,21037.900390625,20867.150390625,20906.400390625,2023-12-14,2023-12-14
1702439100,2023-12-13,20950.0,20769.5,20926.349609375,2023-12-14,2023-12-14
1702525500,2023-12-14,21210.900390625,21074.44921875,21182.69921875,2023-12-14,2023-12-14
1702611900,2023-12-15,21492.30078125,21235.30078125,21456.650390625,2023-12-21,2023-12-21
1702871100,2023-12-18,21482.80078125,21365.349609375,21418.650390625,2023-12-21,2023-12-21
1702957500,2023-12-19,21505.05078125,21337.75,21453.099609375,2023-12-21,2023-12-21
1703043900,2023-12-20,21593.0,21087.349609375,21150.150390625,2023-12-21,2023-12-21
1703130300,2023-12-21,21288.349609375,20976.80078125,21255.05078125,2023-12-21,2023-12-21
1703216700,2023-12-22,21390.5,21232.44921875,21349.400390625,2023-12-28,2023-12-28
1703562300,2023-12-26,21477.150390625,21329.44921875,21441.349609375,2023-12-28,2023-12-28
1703648700,2023-12-27,21675.75,21495.80078125,21654.75,2023-12-28,2023-12-28
1703735100,2023-12-28,21801.44921875,21678.0,21778.69921875,2023-12-28,2023-12-28
1703821500,2023-12-29,21770.30078125,21676.900390625,21731.400390625,2024-01-04,2024-01-04
1704080700,2024-01-01,21834.349609375,21680.849609375,21741.900390625,2024-01-04,2024-01-04
1704167100,2024-01-02,21755.599609375,21555.650390625,21665.80078125,2024-01-04,2024-01-04
1704253500,2024-01-03,21677.0,21500.349609375,21517.349609375,2024-01-04,2024-01-04
1704339900,2024-01-04,21685.650390625,21564.55078125,21658.599609375,2024-01-04,2024-01-04
1704426300,2024-01-05,21749.599609375,21629.19921875,21710.80078125,2024-01-11,2024-01-11
1704685500,2024-01-08,21763.94921875,21492.900390625,21513.0,2024-01-11,2024-01-11
1704771900,2024-01-09,21724.44921875,21517.849609375,21544.849609375,2024-01-11,2024-01-11
1704858300,2024-01-10,21641.849609375,21448.650390625,21618.69921875,2024-01-11,2024-01-11
1704944700,2024-01-11,21726.5,21593.75,21647.19921875,2024-01-11,2024-01-11
1705031100,2024-01-12,21928.25,21715.150390625,21894.55078125,2024-01-18,2024-01-18
1705290300,2024-01-15,22115.55078125,21963.55078125,22097.44921875,2024-01-18,2024-01-18
1705376700,2024-01-16,22124.150390625,21969.80078125,22032.30078125,2024-01-18,2024-01-18
1705463100,2024-01-17,21851.5,21550.44921875,21571.94921875,2024-01-18,2024-01-18
1705549500,2024-01-18,21539.400390625,21285.55078125,21462.25,2024-01-18,2024-01-18
1705635900,2024-01-19,21670.599609375,21575.0,21622.400390625,2024-01-25,2024-01-25
1705981500,2024-01-23,21750.25,21192.599609375,21238.80078125,2024-01-25,2024-01-25
1706067900,2024-01-24,21482.349609375,21137.19921875,21453.94921875,2024-01-25,2024-01-25
