CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTIDXNIFTY29-AUG-2024CE24550,613.55,479.3,479.3,391.5,449.6,449.6,163.95,137.0,1525.0,61.0,24315.95,38101743.75,662993.75
OPTIDXNIFTY18-JUL-2024CE23000,1336.7,1364.9,1405.0,1244.75,1376.2,1376.2,39.5,3106.0,115650.0,4626.0,24315.95,2814034901.25,154084901.25
OPTIDXNIFTY27-MAR-2025CE23000,2911.8,0.0,0.0,0.0,,2897.55,14.25,1.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY18-JUL-2024PE23550,8.5,6.35,10.25,3.85,4.15,4.15,4.35,31534.0,2577200.0,103088.0,24315.95,60707185600.0,14125600.0
OPTIDXNIFTY11-JUL-2024CE24550,8.05,9.95,10.65,0.05,0.1,24315.95,24307.9,328696.0,247190175.0,9887607.0,24315.95,6068950369790.0,431573540.0
OPTIDXNIFTY25-JUL-2024CE23000,1374.0,1406.0,1425.35,1262.0,1399.5,1399.5,25.5,44654.0,104250.0,4170.0,24315.95,2537930808.75,140180808.75
OPTIDXNIFTY11-JUL-2024PE23000,0.4,0.25,0.3,0.05,0.05,24315.95,24315.55,74904.0,7008675.0,280347.0,24315.95,161200316645.0,791645.0
OPTIDXNIFTY28-DEC-2028CE23000,8241.65,0.0,0.0,0.0,,8227.1,14.55,0.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY29-AUG-2024PE23000,89.8,87.4,99.4,80.5,83.8,83.8,6.0,42684.0,466600.0,18664.0,24315.95,10773223540.0,41423540.0
OPTIDXNIFTY26-SEP-2024PE23550,303.4,0.0,0.0,0.0,,301.45,1.95,0.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY29-AUG-2024PE23550,176.1,167.3,187.6,162.2,166.3,166.3,9.8,201.0,3925.0,157.0,24315.95,93099213.75,665463.75
OPTIDXNIFTY26-DEC-2024CE23000,2202.9,2220.0,2220.0,2110.85,2201.65,2201.65,1.25,20065.0,5750.0,230.0,24315.95,144767238.75,12517238.75
OPTIDXNIFTY26-DEC-2024PE23000,265.05,263.0,280.0,258.0,263.05,263.05,2.0,73859.0,201475.0,8059.0,24315.95,4687396398.75,53471398.75
OPTIDXNIFTY25-JUL-2024PE23550,51.95,45.5,63.8,39.25,44.15,44.15,7.8,7714.0,238950.0,9558.0,24315.95,5639403493.75,12130993.75
OPTIDXNIFTY01-AUG-2024CE24550,266.15,259.35,272.9,231.35,261.75,261.75,4.4,62.0,2275.0,91.0,24315.95,56421428.75,570178.75
OPTIDXNIFTY29-AUG-2024CE23000,1549.85,1575.0,1601.0,1450.0,1572.9,1572.9,23.05,4893.0,21825.0,873.0,24315.95,535477365.0,33502365.0
OPTIDXNIFTY01-AUG-2024PE24550,465.0,460.0,460.0,426.35,449.1,462.35,2.65,17.0,825.0,33.0,24315.95,20615478.75,361728.75
OPTIDXNIFTY28-JUN-2029PE23000,487.7,0.0,0.0,0.0,,484.95,2.75,0.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY24-DEC-2025CE23000,3636.9,3555.0,3685.05,3555.0,3610.0,3610.0,26.9,221.0,1050.0,42.0,24315.95,27985963.75,3835963.75
OPTIDXNIFTY29-AUG-2024PE23650,245.95,193.1,193.1,161.75,167.35,167.35,78.6,165.0,350.0,14.0,24315.95,8337155.0,59655.0
OPTIDXNIFTY25-JUN-2026PE13000,0.6,0.0,0.0,0.0,,0.55,0.05,8.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY11-JUL-2024PE23650,0.75,0.75,0.75,0.05,0.05,24315.95,24315.2,44521.0,12889200.0,515568.0,24315.95,304832459998.75,2879998.75
OPTIDXNIFTY11-JUL-2024CE23650,668.0,682.0,707.65,520.55,664.2,24315.95,23647.95,568.0,88950.0,3558.0,24315.95,2160934982.5,57267482.5
OPTIDXNIFTY26-SEP-2024PE23650,332.05,0.0,0.0,0.0,,330.2,1.85,0.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY08-AUG-2024CE23650,966.8,0.0,0.0,0.0,,949.75,17.05,0.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY31-DEC-2026PE13000,1.4,21.4,21.4,21.4,21.4,21.4,20.0,6.0,50.0,2.0,24315.95,651070.0,1070.0
OPTIDXNIFTY24-DEC-2025PE13000,0.15,0.0,0.0,0.0,,0.15,0.0,6.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY26-SEP-2024CE23650,1372.6,0.0,0.0,0.0,,1357.55,15.05,0.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY25-JUL-2024PE23650,64.55,64.55,79.95,50.1,56.0,56.0,8.55,4414.0,213450.0,8538.0,24315.95,5061261535.0,13169035.0
OPTIDXNIFTY25-JUL-2024CE23650,824.25,705.0,810.0,688.05,802.0,802.0,22.25,506.0,575.0,23.0,24315.95,14017661.25,418911.25
OPTIDXNIFTY24-DEC-2025CE19500,6887.65,0.0,0.0,0.0,,6874.75,12.9,59.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY11-JUL-2024PE24350,85.5,50.45,199.2,15.2,36.5,24315.95,24230.45,154554.0,450103650.0,18004146.0,24315.95,10985395674246.2,25371796746.25
OPTIDXNIFTY08-AUG-2024CE24350,432.05,432.0,447.0,379.9,433.6,433.6,1.55,16.0,1075.0,43.0,24315.95,26625656.25,449406.25
OPTIDXNIFTY26-SEP-2024PE24350,484.6,475.3,475.3,475.0,475.0,475.0,9.6,16.0,125.0,5.0,24315.95,3103132.5,59382.5
OPTIDXNIFTY18-JUL-2024CE24350,147.7,169.0,169.0,84.25,141.15,141.15,6.55,39480.0,12258450.0,490338.0,24315.95,300024646571.25,1531389071.25
OPTIDXNIFTY18-JUL-2024PE24350,154.85,154.85,210.0,99.5,110.65,110.65,44.2,40458.0,8493300.0,339732.0,24315.95,207980825092.5,1168970092.5
OPTIDXNIFTY11-JUL-2024CE24350,53.65,69.9,70.0,0.05,1.1,24315.95,24262.3,709942.0,1396316425.0,55852657.0,24315.95,34013634975797.5,13330027047.5
OPTIDXNIFTY01-AUG-2024PE24350,322.0,300.0,353.95,277.95,286.0,286.0,36.0,166.0,10725.0,429.0,24315.95,264439568.75,3285818.75
OPTIDXNIFTY29-AUG-2024PE23350,137.1,123.2,137.35,123.0,128.4,128.4,8.7,300.0,5850.0,234.0,24315.95,137353282.5,755782.5
OPTIDXNIFTY26-SEP-2024PE23350,251.8,0.0,0.0,0.0,,249.8,2.0,1.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY11-JUL-2024PE23350,0.4,0.3,0.3,0.05,0.05,24315.95,24315.55,15257.0,1542475.0,61699.0,24315.95,36017020407.5,229157.5
OPTIDXNIFTY18-JUL-2024PE23350,5.2,3.9,5.9,2.65,2.8,2.8,2.4,10592.0,693525.0,27741.0,24315.95,16196329686.25,2520936.25
OPTIDXNIFTY24-DEC-2025CE27000,1309.95,0.0,0.0,0.0,,1977.9,667.95,184.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY31-DEC-2026PE27000,1674.9,0.0,0.0,0.0,,1672.8,2.1,0.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY27-MAR-2025PE27000,2162.75,0.0,0.0,0.0,,2165.8,3.05,0.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY25-JUN-2026PE27000,1806.25,0.0,0.0,0.0,,1805.0,1.25,0.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY28-DEC-2028CE27000,6090.85,0.0,0.0,0.0,,6074.85,16.0,0.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY29-JUN-2028CE27000,5464.65,0.0,0.0,0.0,,5448.7,15.95,0.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY29-JUN-2028PE27000,1343.3,0.0,0.0,0.0,,1339.9,3.4,0.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY26-JUN-2025PE27000,2084.75,0.0,0.0,0.0,,2086.5,1.75,0.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY26-JUN-2025CE27000,1239.6,0.0,0.0,0.0,,1227.8,11.8,0.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY25-JUN-2026CE27000,2728.35,0.0,0.0,0.0,,2713.95,14.4,0.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY01-AUG-2024PE23000,35.3,32.7,40.05,29.2,31.15,31.15,4.15,4525.0,138450.0,5538.0,24315.95,3189034516.25,4684516.25
OPTIDXNIFTY18-JUL-2024PE24550,272.1,287.15,355.0,206.5,227.4,227.4,44.7,2544.0,329950.0,13198.0,24315.95,8188511450.0,88238950.0
OPTIDXNIFTY26-SEP-2024CE24550,832.25,554.8,554.8,554.8,554.8,818.45,13.8,9.0,25.0,1.0,24315.95,627620.0,13870.0
OPTIDXNIFTY31-DEC-2026CE23000,5707.9,0.0,0.0,0.0,,5693.25,14.65,20.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY01-AUG-2024CE23000,1454.35,0.0,0.0,0.0,,1438.85,15.5,2.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY29-JUN-2028PE23000,535.05,0.0,0.0,0.0,,532.35,2.7,0.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY25-JUN-2026PE23000,574.55,0.0,0.0,0.0,,572.45,2.1,9.0,0.0,0.0,24315.95,0.0,0.0
OPTIDXNIFTY26-SEP-2024CE23550,1442.35,0.0,0.0,0.0,,1427.3,15.05,0.0,0.0,0.0,24315.95,0.0,0.0
